id,name,installed_capacity_MW,pumping_MW,type,country_code,lat,lon,dam_height_m,volume_Mm3,storage_capacity_MWh,avg_annual_generation_GWh,pypsa_id,GEO,WRI
H1,Grande Dixence - Cleuson-Dixence (chandolin-fionnay-nendaz-bieudron),2069,,HDAM,CH,46.0731,7.4034,1748,400,1764300,1400,,45218,WRI1004074
H10,Chiotas entracque,1064,1184,HPHS,IT,44.1775758,7.4165053,130,30.18,16860,,831,45432,WRI1002882
H100,S.massenza - Vezzano molveno UP_S MASS CL_1,377,55,HPHS,IT,46.067653,10.983605,580.9,32.7,44800,,251,,
H1000,Lugo di nazza Lugo Di Nazza Hydroelectric Power Station France - Lugo Di Nazza Hydroelectric Power Station France,38.50318471,,HDAM,FR,42.091,9.316,,,,,3125,39764,
H1001,Pracomune,42,35.6,HPHS,IT,46.5478079,11.0070771,377,,,,3234,,
H1002,Lipovec Lipovec Hydroelectric Power Plant Slovakia - Lipovec Hydroelectric Power Plant Slovakia,38.4,,HROR,SK,49.13197,18.9114,,,,,1815,42645,
H1003,Sučany Sucany Hydroelectric Power Plant Slovakia - Sucany Hydroelectric Power Plant Slovakia,38.4,,HROR,SK,49.10656,18.99204,,,,,1827,42647,
H1004,Feldkirchen,38.2,,HROR,DE,47.96092,12.1561,,,,204,2151,,
H1005,BARRIOS DE LUNA 1 (MORA LUNA),38,,HDAM,ES,42.466999,-5.883,300.3,308,252000,,,,
H1007,"Garsten st, ulrich",38,,HROR,AT,48.018488,14.411714,,,,,395,,
H1008,Mavcice HE Mavcice 1 - Mavcice Hydroelectric Power Plant Slovenia,38,,HDAM,SI,46.18387,14.40805,40,1.68,,62,1772,44875,
H1009,Granfors,40,,HDAM,SE,64.1833333,20.3833333,,,,,2839,,
H101,Tajo encantada TJE1,360,420,HPHS,ES,36.908265,-4.763865,341,4,1000,,216,,
H1010,Ala,38,,HROR,IT,45.758995,11.000182,,,,,3250,,
H1011,Campo,38,,HROR,IT,46.221592,9.449839,,,,,3327,,
H1012,Cividate,38,,HROR,IT,45.942493,10.277462,,,,178,3363,,
H1013,Marlengo,38,,HROR,IT,46.65261772,11.14545822,,,,,3574,,
H1014,Regoledo,38,,HROR,IT,46.135091,9.551643,,,,,3720,,
H1015,Deanie,38,,HROR,UK,57.382,-4.881,,,,92,,,
H1018,PENADRADA 1,38,,HDAM,ES,42.854,-6.459,,,,,,,
H1019,Kierikki,38,,HROR,FI,65.372222,25.840278,18.2,,,,,,
H102,Polyfyto POLYFYTO - Polyfyto  Hydroelectric Power Plant Greece,375,,HDAM,EL,40.3305,22.1253,105,1220,342000,584,2966,42797,
H1020,Arcesti,38,,HDAM,RO,44.449583,24.312917,31,43.4,,122,,,
H1021,Calimanesti,38,,HDAM,RO,45.074583,24.364583,29,44.3,,106,,,
H1022,Ionesti,38,,HDAM,RO,44.857917,24.24625,34,24.9,,125,,,
H1023,Zavideni,38,,HDAM,RO,44.774583,24.27125,30,500,,120,,,
H1024,Wyhlen,37.9,,HROR,DE,47.5523554,7.6580881,,,,,2726,,
H1025,Argentiere bessee Argentiere-La Bessee Hydroelectric Power Station France - Argentiere-La Bessee Hydroelectric Power Station France,37.51592357,,HDAM,FR,44.783,6.548,,,,,3011,39767,
H1026,Grono,37.5,,HROR,CH,46.242012,9.153520004,,,,,2194,,
H1027,Qarrishta 1,37.5,,HROR,AL,41.21956111,20.30383333,,,,148,,,
H1028,Talarn Talarn Hydroelectric Power Plant Spain - Talarn Hydroelectric Power Plant Spain,37.36,,HDAM,ES,42.17969,0.91314,,,,,1790,43826,
H1029,Manosque voix Manosque-Voix Hydroelectric Power Station France - Manosque-Voix Hydroelectric Power Station France,37.18405084,,HROR,FR,43.877,5.863,,,,,3128,39709,
H103,PSHPP_BELMEKEN_1 - Belmeken Pumped Storage Hydroelectric Power Plant Bulgaria,375,104,HPHS,BG,42.198002,23.862,640,42.72397094,640,321,,,
H1031,ENTREPENAS 1,37,,HDAM,ES,40.493,-2.75,343.7,835,,,,,
H1032,Weyer,37,,HROR,AT,48.14650327,14.1176033,,,,,576,,
H1033,Sikfors,40,,HDAM,SE,65.525764,21.183168,,,,,2875,,
H1034,Skedvi,38,,HDAM,SE,60.398171,15.808669,,,,,2877,,
H1035,Babeni,37,,HDAM,RO,44.920417,24.250417,33,59.7,,120,,,
H1036,Daesti,37,,HDAM,RO,45.17875,24.369583,29,11.2,,107,,,
H1037,Egets Egets Hydroelectric Power Station France - Egets Hydroelectric Power Station France,36.82484076,,HDAM,FR,42.955,0.565,,,,,3068,39774,
H1038,HE Rijeka,36.8,,HROR,HR,45.33499908,14.45199966,,,,99.98,,,
H1039,Rheinau,36.8,,HROR,CH,47.63891024,8.601661178,,,,,2516,,
H104,Miranda,369,,HROR,PT,41.4886,-6.2656,60,,,897.8,2954,43537,
H1040,Nußdorf,48,,HROR,DE,47.74444,12.1348886,,,,245,5637,,
H1042,Grangent Grangent Hydroelectric Power Station France - Grangent Hydroelectric Power Station France,36.52866242,,HDAM,FR,45.467,4.248,,,,,3086,39798,
H1044,Sveta Peka Hydroelectric Power Plant Macedonia - Sveta Peka Hydroelectric Power Plant Macedonia,36.4,,HDAM,MK,41.9249,21.2647,64,9.775,,,,44849,
H1045,Campo moro,37,37,HPHS,IT,46.2695803,9.8720987,133,68,21441,33,3232,,
H1047,Hintermuhr,104,86,HPHS,AT,47.79940564,13.04399014,,15,,,2223,,
H1048,Lovons Krv,37,,HDAM,SE,63.829583,15.642083,16,495,,142,,,
H1049,Grytfors,37,,HDAM,SE,65.295466,19.11352,,,,,2840,,
H105,Monteynard MONTEYNARD - Monteyard-Avigonnet Hydroelectric Power Station France,366,,HDAM,FR,44.96118,5.68874,153,275,77900,495,1659,39790,
H1050,Caneva,36,,HROR,IT,45.9688889,12.4497222,,,,,3329,,
H1051,Sampeyre,36,,HROR,IT,44.579631,7.184521,,,,,3755,,
H1052,Uvac Hydroelectric Power Plant Serbia - Uvac Hydroelectric Power Plant Serbia,36,,HDAM,RS,43.4224,19.9295,,213,,,,44128,
H1053,Moriston Cascade CEAN-1,36,,HROR,UK,57.155998,-4.936,,,,153,,,
H1054,St léonard St-Leonard Hydroelectric Power Plant Switzerland - St-Leonard Hydroelectric Power Plant Switzerland,36,,HDAM,CH,46.26058771,7.44474053,,,,,1766,45466,
